gene	chromosome	gene_tss	gene_end
GU182359.1	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54754600	54768961
AC245128.37	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54703952	54704235
GU182345.5	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54738568	54752475
GU182345.3	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54754722	54769049
GU182358.6	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54754966	54767314
GU182345.4	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54771241	54780725
GU182345.8	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54782658	54797195
GU182359.7	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54802804	54817417
NCR1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54906192	54910107
GU182351.1	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54738507	54752802
GU182351.7	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54754693	54769187
GU182359.5	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54819505	54829001
GU182351.4	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54771163	54780643
GU182359.8	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54830865	54845301
GU182359.3	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54847678	54861692
GU182351.10	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54782575	54796808
GU182351.9	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54799454	54811769
SNTG2	CHR_HSCHR2_3_CTG1	1209102	1269668
GU182351.3	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54830833	54834726
AC245128.17	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54703952	54704235
AL133414.10	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54738439	54769215
KIR2DS2	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54738243	54752150
AC245128.49	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54703952	54704235
KIR2DL2	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54754397	54768727
KIR2DL5B	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54770973	54780252
KIR2DS3	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54782354	54796789
GU182339.2	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54799171	54811528
GU182357.3	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54738519	54752638
GU182338.4	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54786460	54798282
GU182357.10	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54754673	54769220
GU182357.9	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54771198	54780682
AC245128.58	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54703952	54704235
GU182357.1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54782617	54797414
GU182357.5	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54799595	54812147
GU182354.2	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54754999	54767347
AL133414.2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54754679	54769001
AC245128.54	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54703952	54704235
GU182343.8	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54727609	54736462
GU182349.4	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54738560	54752721
GU182349.2	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54754663	54769262
GU182354.3	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54786437	54797952
GU182343.2	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54755098	54764695
GU182351.8	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54877174	54891588
GU182343.1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54766539	54781397
GU182343.3	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54783578	54795926
KIR3DS1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54860636	54875223
AL133414.8	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54802839	54817200
GU182343.9	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54814919	54820584
KIR2DL5A	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54877311	54886807
GU182339.1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54888671	54903107
KIR2DS1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54905478	54919948
AL133414.5	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54819459	54828923
AL133414.9	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54830903	54845777
AL133414.1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54847867	54861881
MEIOB	CHR_HSCHR16_4_CTG1	1874127	1886319
LINC00254	CHR_HSCHR16_4_CTG1	1886256	1886269
AC245128.14	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54703952	54704235
LINC02124	CHR_HSCHR16_4_CTG1	1891136	1892455
HS3ST6	CHR_HSCHR16_4_CTG1	1920464	1920464
BX072566.1	GL000213.1	139655	139659
AC245128.41	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54703952	54704235
AC010329.3	CHR_HSCHR19_1_CTG2	20674923	20696533
AC010329.4	CHR_HSCHR19_1_CTG2	20755250	20755250
ZNF66	CHR_HSCHR19_1_CTG2	20776304	20807420
BNIP3P24	CHR_HSCHR19_1_CTG2	20785152	20785152
AC008463.2	CHR_HSCHR19_1_CTG2	20815244	20822244
AC008463.1	CHR_HSCHR19_1_CTG2	20853768	20853768
ZNF85	CHR_HSCHR19_1_CTG2	20929638	20957113
AC008739.2	CHR_HSCHR19_1_CTG2	20935130	20935130
KRT18P40	CHR_HSCHR19_1_CTG2	20967473	20971556
AC008739.7	CHR_HSCHR19_1_CTG2	20978678	20989626
ZNF430	CHR_HSCHR19_1_CTG2	21027036	21043218
AC245128.59	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54703952	54704235
GU182347.5	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54738502	54752797
GU182347.8	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54754688	54769216
GU182347.13	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54771247	54780763
GU182347.9	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54782627	54797062
RNU6-222P	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54869045	54869045
GU182347.2	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54860882	54875495
Metazoa_SRP	CHR_HSCHR1_1_CTG31	153700659	153700956
GEMIN2P1	CHR_HSCHR1_1_CTG31	153714877	153714877
AC217323.2	CHR_HSCHR1_1_CTG31	153735546	153735546
Y_RNA	CHR_HSCHR1_1_CTG31	153743584	153743584
SBNO2	CHR_HSCHR19_4_CTG2	1156245	1156979
INTS3	CHR_HSCHR1_1_CTG31	153745298	153792039
GU182347.6	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54877583	54887079
GU182347.11	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54888943	54903379
GU182347.3	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54905771	54920219
TRAPPC12	CHR_HSCHR2_1_CTG1	3401777	3486461
KRTAP9-2	CHR_HSCHR17_5_CTG4	41226648	41227652
KRTAP9-3	CHR_HSCHR17_5_CTG4	41232462	41233453
AC209539.4	CHR_HSCHR17_5_CTG4	41238001	41238465
KRTAP9-4	CHR_HSCHR17_5_CTG4	41249619	41250585
KRTAP9-9	CHR_HSCHR17_5_CTG4	41255321	41256311
AC216281.1	CHR_HSCHR2_1_CTG1	3427276	3427885
AC114810.2	CHR_HSCHR2_1_CTG1	3498320	3498795
AC209539.5	CHR_HSCHR17_5_CTG4	41265358	41265882
KRTAP9-10P	CHR_HSCHR17_5_CTG4	41270282	41270488
ADI1	CHR_HSCHR2_1_CTG1	3502360	3502360
KRTAP29-1	CHR_HSCHR17_5_CTG4	41292529	41292529
AL513523.7	CHR_HSCHR1_1_CTG31	153768458	153768458
AL513523.8	CHR_HSCHR1_1_CTG31	153769407	153769407
AL513523.9	CHR_HSCHR1_1_CTG31	153791310	153791310
SLC27A3	CHR_HSCHR1_1_CTG31	153791585	153797388
AL513523.6	CHR_HSCHR1_1_CTG31	153812404	153819322
GATAD2B	CHR_HSCHR1_1_CTG31	153845579	153845579
AC236756.1	CHR_HSCHR7_2_CTG7	157742461	157742461
ARHGEF26-AS1	CHR_HSCHR3_2_CTG2_1	154121332	154121332
AL513523.5	CHR_HSCHR1_1_CTG31	153870645	153870645
ARHGEF26	CHR_HSCHR3_2_CTG2_1	154228962	154261004
AC007325.3	KI270734.1	59711	60316
AC007325.1	KI270734.1	72411	74814
AC007325.4	KI270734.1	131494	137392
AC007325.2	KI270734.1	161852	161852
DHX36	CHR_HSCHR3_2_CTG2_1	154284039	154284039
RNU6-1266P	CHR_HSCHR10_1_CTG4	77777055	77777055
IMPDH1P5	CHR_HSCHR10_1_CTG4	77781876	77781876
AL450306.2	CHR_HSCHR10_1_CTG4	77782866	77793176
DLG5	CHR_HSCHR10_1_CTG4	77829442	77926526
DNAH10	CHR_HSCHR12_6_CTG2_1	123826687	123935766
CCDC92	CHR_HSCHR12_6_CTG2_1	123943547	123946006
AC123912.3	CHR_HSCHR19_2_CTG2	21655154	21656539
PIWIL1	CHR_HSCHR12_5_CTG2_1	130337887	130372618
MTDHP4	CHR_HSCHR19_2_CTG2	21687706	21687706
CCNYL6	CHR_HSCHR19_2_CTG2	21719001	21719670
VN1R84P	CHR_HSCHR19_2_CTG2	21729514	21729514
ZNF100	CHR_HSCHR19_2_CTG2	21777005	21777028
AC208069.1	CHR_HSCHR12_6_CTG2_1	123935036	123935036
BRI3BPP1	CHR_HSCHR19_2_CTG2	21760226	21762917
AC092364.5	CHR_HSCHR19_2_CTG2	21803110	21803339
AC092364.3	CHR_HSCHR19_2_CTG2	21809967	21810673
ZNF43	CHR_HSCHR19_2_CTG2	21818511	21818511
AL391421.2	CHR_HSCHR10_1_CTG4	77866875	77869610
RN7SL284P	CHR_HSCHR10_1_CTG4	77912545	77912545
DLG5-AS1	CHR_HSCHR10_1_CTG4	77927372	77929824
AC004231.3	CHR_HSCHR17_4_CTG4	40850800	40863282
KRT12	CHR_HSCHR17_4_CTG4	40867210	40867210
AC127071.4	CHR_HSCHR12_5_CTG2_1	130351707	130351707
AC217627.1	CHR_HSCHR12_5_CTG2_1	130383653	130384179
KRT20	CHR_HSCHR17_4_CTG4	40885227	40885227
AC037482.2	CHR_HSCHR17_4_CTG4	40921430	40976053
KRT23	CHR_HSCHR17_4_CTG4	40937420	40937634
KRT39	CHR_HSCHR17_4_CTG4	40967019	40967019
KRT40	CHR_HSCHR17_4_CTG4	40987128	40987262
KRTAP3-3	CHR_HSCHR17_4_CTG4	40994260	40994260
KRTAP3-2	CHR_HSCHR17_4_CTG4	41000021	41000021
KRTAP3-4P	CHR_HSCHR17_4_CTG4	41004887	41004887
KRTAP3-1	CHR_HSCHR17_4_CTG4	41009241	41019451
KRTAP1-5	CHR_HSCHR17_4_CTG4	41027329	41027329
KRTAP1-4	CHR_HSCHR17_4_CTG4	41030231	41030231
KRTAP1-3	CHR_HSCHR17_4_CTG4	41034982	41034982
KRTAP1-1	CHR_HSCHR17_4_CTG4	41041586	41041586
KRTAP2-1	CHR_HSCHR17_4_CTG4	41047441	41047441
AC037482.5	CHR_HSCHR17_4_CTG4	41055489	41055489
KRTAP2-3	CHR_HSCHR17_4_CTG4	41060344	41060344
KRTAP2-4	CHR_HSCHR17_4_CTG4	41066109	41066109
KRTAP2-5P	CHR_HSCHR17_4_CTG4	41072178	41072573
AC037482.6	CHR_HSCHR17_4_CTG4	41084386	41085542
KRTAP4-8	CHR_HSCHR17_4_CTG4	41098504	41098544
KRTAP4-16	CHR_HSCHR17_4_CTG4	41102628	41102628
KRTAP4-9	CHR_HSCHR17_4_CTG4	41105751	41106907
KRTAP4-11	CHR_HSCHR17_4_CTG4	41118842	41118842
KRTAP4-12	CHR_HSCHR17_4_CTG4	41124635	41124635
AL592188.2	GL000220.1	105287	105376
RNA5-8SN5	GL000220.1	112025	112177
AL592188.1	GL000220.1	149259	149348
AC073135.6	CHR_HSCHR3_9_CTG3	198080720	198080720
PRB1	CHR_HSCHR12_5_CTG2	11356402	11356402
RNU6-821P	CHR_HSCHR3_9_CTG3	198071417	198071417
AC240720.1	CHR_HSCHR3_9_CTG3	198106543	198108214
AC240720.2	CHR_HSCHR3_9_CTG3	198116056	198117113
AC240720.3	CHR_HSCHR3_9_CTG3	198119668	198119668
AC073135.4	CHR_HSCHR3_9_CTG3	198149680	198166452
AC073135.5	CHR_HSCHR3_9_CTG3	198177148	198186438
AC073135.3	CHR_HSCHR3_9_CTG3	198222703	198222703
AC073135.2	CHR_HSCHR3_9_CTG3	198224587	198224769
AC245128.12	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1	54703952	54704235
GU182353.6	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54707913	54713335
GU182353.3	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54738498	54752702
GU182353.7	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54754680	54769221
CES5AP1	CHR_HSCHR22_1_CTG6	23377014	23387731
KRTAP9-12P	CHR_HSCHR17_6_CTG4	41212710	41213241
KRTAP9-6	CHR_HSCHR17_6_CTG4	41253969	41255271
KRTAP9-11P	CHR_HSCHR17_6_CTG4	41259941	41260465
KRTAP9-7	CHR_HSCHR17_6_CTG4	41264289	41265327
ZDHHC8P1	CHR_HSCHR22_1_CTG6	23402567	23402726
GU182353.2	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54771253	54784657
AP000344.2	CHR_HSCHR22_1_CTG6	23392771	23393839
LINC01659	CHR_HSCHR22_1_CTG6	23433564	23435071
AP000344.6	CHR_HSCHR22_1_CTG6	23446598	23460833
FAM230I	CHR_HSCHR22_1_CTG6	23486981	23486981
LINC02557	CHR_HSCHR22_1_CTG6	23537844	23537844
AC110597.3	CHR_HSCHR18_2_CTG2	67457499	67458554
AC110597.2	CHR_HSCHR18_2_CTG2	67554415	67554415
DSEL	CHR_HSCHR18_2_CTG2	67586429	67586429
AC110597.5	CHR_HSCHR18_2_CTG2	67576038	67583479
OR9G1	CHR_HG151_NOVEL_TEST	56700386	56701303
OR9G9	CHR_HG151_NOVEL_TEST	56711466	56712383
AC110597.4	CHR_HSCHR18_2_CTG2	67585995	67586198
AP001803.7	CHR_HG151_NOVEL_TEST	56747536	56747536
OR9G3P	CHR_HG151_NOVEL_TEST	56751253	56752170
OR9G4	CHR_HG151_NOVEL_TEST	56754885	56754885
OR9G2P	CHR_HG151_NOVEL_TEST	56762976	56762976
OR5G1P	CHR_HG151_NOVEL_TEST	56787280	56787280
OR5G4P	CHR_HG151_NOVEL_TEST	56802039	56802039
OR5G5P	CHR_HG151_NOVEL_TEST	56813868	56831496
OR5G3	CHR_HG151_NOVEL_TEST	56831590	56831590
LINC02735	CHR_HG151_NOVEL_TEST	56859642	56882325
AC100797.3	CHR_HSCHR8_4_CTG1	725877	725877
ERICH1	CHR_HSCHR8_4_CTG1	731197	738106
DLGAP2	CHR_HSCHR8_4_CTG1	737651	824587
AC100797.2	CHR_HSCHR8_4_CTG1	738548	740374
AC245128.42	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54703952	54704235
AC068473.6	CHR_HSCHR18_3_CTG2_1	79576460	79589010
AC215996.1	CHR_HSCHR18_3_CTG2_1	79610642	79612198
GU182355.7	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54738547	54752855
AC068473.9	CHR_HSCHR18_3_CTG2_1	79685499	79685499
AC068473.8	CHR_HSCHR18_3_CTG2_1	79685112	79685112
GU182355.10	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54754729	54769262
GU182355.9	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54771294	54784697
CTDP1	CHR_HSCHR18_3_CTG2_1	79685555	79723770
AC011043.1	GL000195.1	49164	49164
AC011043.2	GL000195.1	173872	179372
AC068473.7	CHR_HSCHR18_3_CTG2_1	79709405	79709405
AC208322.1	CHR_HSCHR18_2_CTG1_1	51688210	51688210
GU182355.6	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54802890	54817473
GU182355.5	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54819506	54828970
GU182355.3	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54830927	54845947
GU182355.2	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54847887	54862123
AC106795.6	CHR_HSCHR5_3_CTG5	177871183	177871194
AC106795.4	CHR_HSCHR5_3_CTG5	177875522	177950732
AC106795.7	CHR_HSCHR5_3_CTG5	177939622	177983334
AC106795.9	CHR_HSCHR5_3_CTG5	177950335	177963960
AC236592.1	CHR_HSCHR5_3_CTG5	177967004	177967457
SUDS3P1	CHR_HSCHR5_3_CTG5	177971313	177972279
PROP1	CHR_HSCHR5_3_CTG5	177996421	177996421
AC108489.1	CHR_HSCHR2_4_CTG1	1344763	1344763
AL022318.3	CHR_HSCHR22_1_CTG2	38921227	38924708
AC192820.1	CHR_HSCHR22_1_CTG2	38949113	38949127
APOBEC3A	CHR_HSCHR22_1_CTG2	38952742	38962839
TPO	CHR_HSCHR2_4_CTG1	1372594	1540021
APOBEC3B-AS1	CHR_HSCHR22_1_CTG2	38968270	38968270
AP2A2	CHR_HSCHR11_2_CTG1	940735	1012239
SEPTIN9-DT	CHR_HSCHR17_3_CTG4	77270011	77293519
AC068594.2	CHR_HSCHR17_3_CTG4	77276398	77276398
RNU6-1025P	CHR_HSCHR11_2_CTG1	948421	948524
SEPTIN9	CHR_HSCHR17_3_CTG4	77292191	77306525
MUC6	CHR_HSCHR11_2_CTG1	1043528	1043528
ARMC4P1	CHR_HSCHR10_1_CTG1	27288669	27288857
AC106795.8	CHR_HSCHR5_2_CTG5	177871183	177871194
AL355493.3	CHR_HSCHR10_1_CTG1	27388552	27388552
FAM210CP	CHR_HSCHR10_1_CTG1	27397590	27397590
TRIAP1P1	CHR_HSCHR10_1_CTG1	27425662	27425662
AC114936.2	CHR_HSCHR5_2_CTG5	177875522	177955274
PTCHD3	CHR_HSCHR10_1_CTG1	27461668	27461668
AC114936.4	CHR_HSCHR5_2_CTG5	177944158	177987099
AC114936.3	CHR_HSCHR5_2_CTG5	177954877	177967034
NOSTRIN	CHR_HSCHR2_1_CTG7_2	168831472	168865516
AC114936.5	CHR_HSCHR5_2_CTG5	177970078	177970531
SPC25	CHR_HSCHR2_1_CTG7_2	168906282	168930360
AC093689.2	CHR_HSCHR4_1_CTG6	34657606	34669432
G6PC2	CHR_HSCHR2_1_CTG7_2	168918229	168926984
ABCB11	CHR_HSCHR2_1_CTG7_2	168953422	168953422
AL121956.4	CHR_HSCHR6_1_CTG9	166229334	166229554
AL121956.3	CHR_HSCHR6_1_CTG9	166236969	166256947
GNG5P1	CHR_HSCHR6_1_CTG9	166240493	166240493
AC233714.1	CHR_HSCHR6_1_CTG9	166277068	166277068
KCNQ2	CHR_HSCHR20_1_CTG4	63415035	63466150
AL353658.2	CHR_HSCHR20_1_CTG4	63422269	63424555
KCNQ2-AS1	CHR_HSCHR20_1_CTG4	63449173	63450451
CYFIP1	CHR_HSCHR15_1_CTG3	22905440	22981018
RPL21P36	CHR_HSCHR2_1_CTG5	36299830	36299830
CRIM1-DT	CHR_HSCHR2_1_CTG5	36361147	36361147
CRIM1	CHR_HSCHR2_1_CTG5	36362504	36362656
ADAMTS12	CHR_HSCHR5_6_CTG1	33842311	33894178
RXFP3	CHR_HSCHR5_6_CTG1	33938372	33940223
SLC45A2	CHR_HSCHR5_6_CTG1	33956490	33956490
TUBGCP5	CHR_HSCHR15_1_CTG3	23039550	23039654
GU182352.8	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54707923	54712937
TBCD	CHR_HSCHR17_1_CTG9	82923652	82946138
AF250324.6	CHR_HSCHR4_3_CTG12	189704490	189704490
RNU1-51P	CHR_HSCHR4_3_CTG12	189709714	189709714
FRG1-DT	CHR_HSCHR4_3_CTG12	189780799	189899116
LINC01596	CHR_HSCHR4_3_CTG12	189884988	189888341
FTCD	CHR_HSCHR21_5_CTG2	46142669	46155567
SLC25A51P1	CHR_HSCHR6_1_CTG7	65788417	65789287
ADH5P4	CHR_HSCHR6_1_CTG7	65838039	65838039
GXYLT1P1	CHR_HSCHR13_1_CTG3	18724904	18724904
GU182352.5	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54754487	54766832
CNN2P12	CHR_HSCHR13_1_CTG3	18726706	18727414
ZNF965P	CHR_HSCHR13_1_CTG3	18734080	18734896
CYP4F34P	CHR_HSCHR13_1_CTG3	18742718	18742718
SNX18P26	CHR_HSCHR13_1_CTG3	18808018	18808018
LINC00328-2P	CHR_HSCHR13_1_CTG3	18809830	18810048
ANKRD20A9P	CHR_HSCHR13_1_CTG3	18880683	18880683
RNU6-55P	CHR_HSCHR13_1_CTG3	18869291	18869291
ELMO2P1	CHR_HSCHR15_2_CTG3	23087871	23126101
GU182352.9	CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1	54785929	54797435
AC136687.2	CHR_HSCHR15_3_CTG3	22363371	22363650
AC136687.3	CHR_HSCHR15_3_CTG3	22374469	22376303
SPATA31E3P	CHR_HSCHR15_3_CTG3	22403919	22409655
GOLGA8EP	CHR_HSCHR15_3_CTG3	22439650	22440620
PTDSS2	CHR_HSCHR11_1_CTG8	473895	491399
AC105227.4	CHR_HSCHR18_1_CTG1_1	50302190	50313595
AC105227.3	CHR_HSCHR18_1_CTG1_1	50318420	50319024
GOLGA6L1	CHR_HSCHR15_2_CTG3	23141599	23141599
RNA5SP458	CHR_HSCHR18_1_CTG1_1	50319002	50319120
SKA1	CHR_HSCHR18_1_CTG1_1	50374995	50394173
AC136687.1	CHR_HSCHR15_3_CTG3	22453604	22457549
AC245690.1	CHR_HSCHR5_1_CTG1_1	69910279	69916203
GOLGA6L22	CHR_HSCHR15_3_CTG3	22461501	22471066
AC245690.3	CHR_HSCHR5_1_CTG1_1	69930714	69941207
FTCD-AS1	CHR_HSCHR21_5_CTG2	46151614	46152647
CDH12P2	CHR_HSCHR5_1_CTG1_1	70005841	70005841
IFNGR2	CHR_HSCHR21_4_CTG1_1	33410836	33488905
SPATC1L	CHR_HSCHR21_5_CTG2	46186787	46186787
AC116165.12	CHR_HSCHR15_2_CTG3	23149199	23149199
SERF1B	CHR_HSCHR5_1_CTG1_1	70045915	70063796
LSM14A	CHR_HSCHR19_1_CTG3_1	34172447	34229322
AF067845.6	CHR_HSCHR8_1_CTG1	1302607	1302607
RNH1	CHR_HSCHR11_1_CTG8	503570	507300
GOLGA8DP	CHR_HSCHR15_2_CTG3	23162205	23173124
AF067845.3	CHR_HSCHR8_1_CTG1	1369833	1369833
AC131901.1	CHR_HSCHR8_1_CTG1	1373685	1381062
HERC2P7	CHR_HSCHR15_3_CTG3	22486719	22486719
AC131901.2	CHR_HSCHR8_1_CTG1	1377533	1379973
HERC2P2	CHR_HSCHR15_3_CTG3	22497423	22593430
LINC02066	CHR_HSCHR3_1_CTG2_1	151637174	151657956
AADACL2	CHR_HSCHR3_1_CTG2_1	151744454	151770036
AP001468.2	CHR_HSCHR21_5_CTG2	46187390	46191252
RPS6P22	CHR_HSCHR12_2_CTG2_1	59027218	59027943
