	SNPS	PUBMEDID	MAPPED_TRAIT	STRONGEST SNP-RISK ALLELE	P-VALUE	OR or BETA	95% CI (TEXT)	CONTEXT	Risk_Allele
72	rs4687718	27659466	"QRS complex, QRS duration"	rs4687718-?	7.00E-10			intron_variant	?
68	rs1886512	27659466	"QRS complex, QRS duration"	rs1886512-?	6.00E-10			intron_variant	?
29	rs1408224	27659466	"QRS amplitude, QRS complex"	rs1408224-?	4.00E-10	134.77	[92.65-176.89] unit increase	intron_variant	?
25	rs7562790	27659466	"QRS complex, QRS duration"	rs7562790-?	3.00E-10			intron_variant	?
52	rs728926	27659466	"QRS complex, QRS duration"	rs728926-?	6.00E-11	0.4	[0.28-0.52] unit decrease	intron_variant	?
17	rs3770770	27659466	"QRS complex, QRS duration"	rs3770770-?	5.00E-11	0.49	[0.35-0.63] unit increase	intron_variant	?
43	rs9912468	27659466	"QRS amplitude, QRS complex"	rs9912468-?	5.00E-11			intron_variant	?
80	rs2025096	27659466	"QRS amplitude, QRS complex"	rs2025096-?	5.00E-11	22.8	[16.02-29.58] unit decrease	5_prime_UTR_variant	?
66	rs174577	27659466	"QRS complex, QRS duration"	rs174577-?	4.00E-11	0.38	[0.26-0.5] unit decrease	intron_variant	?
7	rs9912468	27659466	"QRS complex, QRS duration"	rs9912468-?	2.00E-11			intron_variant	?
14	rs17391905	27659466	"QRS complex, QRS duration"	rs17391905-?	1.00E-11	1.27	[0.9-1.64] unit decrease	intergenic_variant	?
74	rs7342028	27659466	"QRS complex, QRS duration"	rs7342028-?	1.00E-11			intron_variant	?
70	rs3825214	27659466	"QRS complex, QRS duration"	rs3825214-?	3.00E-12			intron_variant	?
91	rs9912468	27659466	"QRS amplitude, QRS complex"	rs9912468-?	3.00E-12	32.05	[23.03-41.07] unit increase	intron_variant	?
69	rs2051211	27659466	"QRS complex, QRS duration"	rs2051211-?	1.00E-12			intron_variant	?
54	rs10850409	27659466	"QRS complex, QRS duration"	rs10850409-?	5.00E-13			intergenic_variant	?
8	rs11848785	27659466	"QRS complex, QRS duration"	rs11848785-?	6.00E-14			intron_variant	?
11	rs12880291	27659466	"QRS complex, QRS duration"	rs12880291-?	4.00E-14	0.49	[0.37-0.61] unit decrease	intron_variant	?
83	rs9436640	27659466	"QRS amplitude, QRS complex"	rs9436640-?	4.00E-14			intron_variant	?
12	rs1362212	27659466	"QRS complex, QRS duration"	rs1362212-?	3.00E-14			intergenic_variant	?
33	rs242562	27659466	"QRS amplitude, QRS complex"	rs242562-?	2.00E-14	191.41	[142.57-240.25] unit increase	intron_variant	?
57	rs991014	27659466	"QRS complex, QRS duration"	rs991014-?	2.00E-14			intron_variant	?
78	rs1733724	27659466	"QRS amplitude, QRS complex"	rs1733724-?	2.00E-14	32.94	[24.51-41.37] unit increase	intron_variant	?
2	rs7918405	27659466	"QRS complex, QRS duration"	rs7918405-?	1.00E-14	0.5	[0.36-0.64] unit increase	intron_variant	?
59	rs10853525	27659466	"QRS complex, QRS duration"	rs10853525-?	1.00E-14	0.46	[0.34-0.58] unit increase	intron_variant	?
53	rs883079	27659466	"QRS complex, QRS duration"	rs883079-?	5.00E-16			3_prime_UTR_variant	?
92	rs10850409	27659466	"QRS amplitude, QRS complex"	rs10850409-?	6.00E-17			intergenic_variant	?
23	rs10850409	27659466	"QRS amplitude, QRS complex"	rs10850409-?	1.00E-17			intergenic_variant	?
37	rs7132327	27659466	"QRS amplitude, QRS complex"	rs7132327-?	1.00E-17	217.11	[167.33-266.89] unit decrease	intergenic_variant	?
13	rs1419856	27659466	"QRS complex, QRS duration"	rs1419856-?	7.00E-18	0.67	[0.51-0.83] unit increase	intergenic_variant	?
3	rs9436640	27659466	"QRS complex, QRS duration"	rs9436640-?	3.00E-18			intron_variant	?
10	rs13165478	27659466	"QRS complex, QRS duration"	rs13165478-?	8.00E-19			intergenic_variant	?
15	rs2207790	27659466	"QRS complex, QRS duration"	rs2207790-?	7.00E-19	0.55	[0.43-0.67] unit decrease	intron_variant	?
6	rs11708996	27659466	"QRS complex, QRS duration"	rs11708996-?	6.00E-23			intron_variant	?
49	rs13165478	27659466	"QRS amplitude, QRS complex"	rs13165478-?	4.00E-24			intergenic_variant	?
50	rs13185595	27659466	"QRS amplitude, QRS complex"	rs13185595-?	2.00E-24	38.4	[31.01-45.79] unit decrease	intergenic_variant	?
5	rs9851724	27659466	"QRS complex, QRS duration"	rs9851724-?	7.00E-25			intergenic_variant	?
58	rs11710077	27659466	"QRS complex, QRS duration"	rs11710077-?	4.00E-26			intron_variant	?
4	rs10865879	27659466	"QRS complex, QRS duration"	rs10865879-?	4.00E-27			intron_variant	?
56	rs11153730	27659466	"QRS complex, QRS duration"	rs11153730-?	8.00E-29			intergenic_variant	?
61	rs11153730	27659466	"QRS complex, QRS duration"	rs11153730-?	7.00E-29	0.63	[0.51-0.75] unit decrease	intergenic_variant	?
55	rs9470361	27659466	"QRS complex, QRS duration"	rs9470361-?	2.00E-37			regulatory_region_variant	?
63	rs1321311	27659466	"QRS complex, QRS duration"	rs1321311-?	1.00E-37	0.84	[0.7-0.98] unit increase	regulatory_region_variant	?
73	rs6795970	27659466	"QRS complex, QRS duration"	rs6795970-?	9.00E-39			missense_variant	?
21	rs6801957	27659466	"QRS complex, QRS duration"	rs6801957-?	7.00E-40	0.77	[0.65-0.89] unit increase	intron_variant	?
